Smiles,LogPProperty,HeavyAtomCountProperty,NumHAcceptorsProperty,NumHDonorsProperty,PAINSProperty,SureChEMBLProperty,GlaxoProperty,DockingScore1Property,DockingScore2Property,Epoch,file name,SAScore,Lipinski,QED,BRENK,MIC
NC(=O)Nc1cc(-c2cc(-c3ccc4cc[nH]c4c3)ccc2-c2nnco2)on1,4.030500000000002,29,6,3,0,0,0,-12.0,-12.6,200,sample_200_null_double_dock_10k.csv,2.900343111566473,True,0.4265044126128766,False,0.0510353483379357
NC(=O)Nc1nnc(-c2cccc(-c3cc4c(c(-c5ccc6cc[nH]c6c5)c3)OCO4)c2)o1,4.771200000000003,33,6,3,0,0,0,-11.0,-9.2,200,sample_200_null_double_dock_10k.csv,2.7865192373092995,True,0.36995586622796506,False,0.026247648567582264
NC(=O)Nc1nnc(-c2ccc(-c3ccc4c(c3)OCCO4)c(-c3cccc4cccnc34)c2)o1,4.880600000000003,35,7,2,0,0,0,-9.9,-11.7,200,sample_200_null_double_dock_10k.csv,2.633298230078349,True,0.38735391244442025,False,0.020920500794886433
NC(=O)Nc1nnc(-c2cccc(-c3ccc4c(-c5ccc6c(c5)OCO6)c[nH]c4c3)c2)o1,4.771200000000003,33,6,3,0,0,0,-10.8,-12.6,200,sample_200_null_double_dock_10k.csv,2.6127114656994674,True,0.36995586622796495,False,0.02979906373338061
NC(=O)Nc1cc(NC(=O)Nc2cccc3cccnc23)ccc1-c1c[nH]c2ccccc12,5.517700000000002,33,3,5,0,0,0,-8.8,-11.8,200,sample_200_null_double_dock_10k.csv,2.3678295069365802,True,0.25470826511429495,False,0.0014947071054406897
c1cnc2c(-c3nnc(-c4cc(-c5ccc6c(c5)OCO6)ccc4-c4nnco4)o3)cccc2c1,5.397500000000003,35,9,0,0,0,0,-9.8,-10.7,200,sample_200_null_double_dock_10k.csv,2.804074502349767,True,0.34081522362928157,False,0.21241142741153232
O=C1CCC(c2cccc(-c3ccc4c(-c5nnc(-c6ccno6)o5)c[nH]c4c3)c2)N1,4.491000000000003,31,6,2,0,0,0,-10.0,-12.2,200,sample_200_null_double_dock_10k.csv,3.35624021933781,True,0.45083322315319063,False,1.1167905735083188
O=C1CCC(c2ccc(-c3ccc4cc[nH]c4c3)c(-c3nnc(C4CCC(=O)N4)o3)c2)N1,3.7871000000000015,32,5,3,0,0,0,-9.1,-12.7,200,sample_200_null_double_dock_10k.csv,3.7792589297819186,True,0.45867118314048017,False,1.16033627293444
O=C1CCCN1c1ccccc1-c1nnc(-c2nnc(-c3ccc4cc[nH]c4c3)o2)o1,4.061700000000003,31,7,1,0,0,0,-10.0,-11.0,200,sample_200_null_double_dock_10k.csv,2.750161563134169,True,0.47329083878059613,False,0.03922552096530652
O=C1CCC(c2cccc(-c3nnc(-c4nnc(-c5ccc6cc[nH]c6c5)o4)o3)c2)N1,3.886000000000002,31,7,2,0,0,0,-10.3,-12.4,200,sample_200_null_double_dock_10k.csv,3.3040025939197504,True,0.4590026097924353,False,0.7817005375391378
